"Date","Site","Depth","kd_interp"
2015-04-07,50,6.2,NA
2015-04-07,50,8,NA
2015-04-07,50,9,NA
2015-04-07,50,9.3,NA
2015-04-13,50,0.1,NA
2015-04-13,50,0.8,NA
2015-04-13,50,1.6,NA
2015-04-13,50,2.8,NA
2015-04-13,50,3.8,NA
2015-04-13,50,5,NA
2015-04-13,50,5.2,NA
2015-04-13,50,5.5,NA
2015-04-13,50,5.8,NA
2015-04-13,50,6,NA
2015-04-13,50,6.2,NA
2015-04-13,50,8,NA
2015-04-13,50,9,NA
2015-04-13,50,9.3,NA
2015-04-16,50,0.1,NA
2015-04-16,50,0.8,NA
2015-04-16,50,1.6,NA
2015-04-16,50,2.8,NA
2015-04-16,50,3.8,NA
2015-04-16,50,5,NA
2015-04-16,50,5.2,NA
2015-04-16,50,5.5,NA
2015-04-16,50,5.8,NA
2015-04-16,50,6,NA
2015-04-16,50,6.2,NA
2015-04-16,50,8,NA
2015-04-16,50,9,NA
2015-04-16,50,9.3,NA
2015-04-19,50,0.1,NA
2015-04-19,50,0.8,NA
2015-04-19,50,1.6,NA
2015-04-19,50,2.8,NA
2015-04-19,50,3.8,NA
2015-04-19,50,5,NA
2015-04-19,50,5.2,NA
2015-04-19,50,5.5,NA
2015-04-19,50,5.8,NA
2015-04-19,50,6,NA
2015-04-19,50,6.2,NA
2015-04-19,50,8,NA
2015-04-19,50,9,NA
2015-04-19,50,9.3,NA
2015-04-21,50,0.1,NA
2015-04-21,50,0.8,NA
2015-04-21,50,1.6,NA
2015-04-21,50,2.8,NA
2015-04-21,50,3.8,NA
2015-04-21,50,5,NA
2015-04-21,50,5.2,NA
2015-04-21,50,5.5,NA
2015-04-21,50,5.8,NA
2015-04-21,50,6,NA
2015-04-21,50,6.2,NA
2015-04-21,50,8,NA
2015-04-21,50,9,NA
2015-04-21,50,9.3,NA
2015-04-25,50,0.1,NA
2015-04-25,50,0.8,NA
2015-04-25,50,1.6,NA
2015-04-25,50,2.8,NA
2015-04-25,50,3.8,NA
2015-04-25,50,5,NA
2015-04-25,50,5.2,NA
2015-04-25,50,5.5,NA
2015-04-25,50,5.8,NA
2015-04-25,50,6,NA
2015-04-25,50,6.2,NA
2015-04-25,50,8,NA
2015-04-25,50,9,NA
2015-04-25,50,9.3,NA
2015-04-28,50,0.1,NA
2015-04-28,50,0.8,NA
2015-04-28,50,1.6,NA
2015-04-28,50,2.8,NA
2015-04-28,50,3.8,NA
2015-04-28,50,5,NA
2015-04-28,50,5.2,NA
2015-04-28,50,5.5,NA
2015-04-28,50,5.8,NA
2015-04-28,50,6,NA
2015-04-28,50,6.2,NA
2015-04-28,50,8,NA
2015-04-28,50,9,NA
2015-04-28,50,9.3,NA
2015-05-01,50,0.1,NA
2015-05-01,50,0.8,NA
2015-05-01,50,1.6,NA
2015-05-01,50,2.8,NA
2015-05-01,50,3.8,NA
2015-05-01,50,5,NA
2015-05-01,50,5.2,NA
2015-05-01,50,5.5,NA
2015-05-01,50,5.8,NA
2015-05-01,50,6,NA
2015-05-01,50,6.2,NA
2015-05-01,50,8,NA
2015-05-01,50,9,NA
2015-05-01,50,9.3,NA
2015-05-05,50,0.1,NA
2015-05-05,50,0.8,NA
2015-05-05,50,1.6,NA
2015-05-05,50,2.8,NA
2015-05-05,50,3.8,NA
2015-05-05,50,5,NA
2015-05-05,50,5.2,NA
2015-05-05,50,5.5,NA
2015-05-05,50,5.8,NA
2015-05-05,50,6,NA
2015-05-05,50,6.2,NA
2015-05-05,50,8,NA
2015-05-05,50,9,NA
2015-05-05,50,9.3,NA
2015-05-07,50,0.1,NA
2015-05-07,50,0.8,NA
2015-05-07,50,1.6,NA
2015-05-07,50,2.8,NA
2015-05-07,50,3.8,NA
2015-05-07,50,5,NA
2015-05-07,50,5.2,NA
2015-05-07,50,5.5,NA
2015-05-07,50,5.8,NA
2015-05-07,50,6,NA
2015-05-07,50,6.2,NA
2015-05-07,50,8,NA
2015-05-07,50,9,NA
2015-05-07,50,9.3,NA
2015-05-11,50,0.1,-1.18570220330469
2015-05-11,50,0.8,-1.18570220330469
2015-05-11,50,1.6,-1.18570220330469
2015-05-11,50,2.8,-1.18570220330469
2015-05-11,50,3.8,-1.18570220330469
2015-05-11,50,5,-1.18570220330469
2015-05-11,50,5.2,-1.18570220330469
2015-05-11,50,5.5,-1.18570220330469
2015-05-11,50,5.8,-1.18570220330469
2015-05-11,50,6,-1.18570220330469
2015-05-11,50,6.2,-1.18570220330469
2015-05-11,50,8,-1.18570220330469
2015-05-11,50,9,-1.18570220330469
2015-05-11,50,9.3,-1.18570220330469
2015-05-14,50,0.1,-1.12745840695467
2015-05-14,50,0.8,-1.12745840695467
2015-05-14,50,1.6,-1.12745840695467
2015-05-14,50,2.8,-1.12745840695467
2015-05-14,50,3.8,-1.12745840695467
2015-05-14,50,5,-1.12745840695467
2015-05-14,50,5.2,-1.12745840695467
2015-05-14,50,5.5,-1.12745840695467
2015-05-14,50,5.8,-1.12745840695467
2015-05-14,50,6,-1.12745840695467
2015-05-14,50,6.2,-1.12745840695467
2015-05-14,50,8,-1.12745840695467
2015-05-14,50,9,-1.12745840695467
2015-05-14,50,9.3,-1.12745840695467
2015-05-18,50,0.1,-0.877117753506881
2015-05-18,50,0.8,-0.877117753506881
2015-05-18,50,1.6,-0.877117753506881
2015-05-18,50,2.8,-0.877117753506881
2015-05-18,50,3.8,-0.877117753506881
2015-05-18,50,5,-0.877117753506881
2015-05-18,50,5.2,-0.877117753506881
2015-05-18,50,5.5,-0.877117753506881
2015-05-18,50,5.8,-0.877117753506881
2015-05-18,50,6,-0.877117753506881
2015-05-18,50,6.2,-0.877117753506881
2015-05-18,50,8,-0.877117753506881
2015-05-18,50,9,-0.877117753506881
2015-05-18,50,9.3,-0.877117753506881
2015-05-21,50,0.1,-0.882383826032505
2015-05-21,50,0.8,-0.882383826032505
2015-05-21,50,1.6,-0.882383826032505
2015-05-21,50,2.8,-0.882383826032505
2015-05-21,50,3.8,-0.882383826032505
2015-05-21,50,5,-0.882383826032505
2015-05-21,50,5.2,-0.882383826032505
2015-05-21,50,5.5,-0.882383826032505
2015-05-21,50,5.8,-0.882383826032505
2015-05-21,50,6,-0.882383826032505
2015-05-21,50,6.2,-0.882383826032505
2015-05-21,50,8,-0.882383826032505
2015-05-21,50,9,-0.882383826032505
2015-05-21,50,9.3,-0.882383826032505
2015-05-25,50,0.1,-0.839805523224963
2015-05-25,50,0.8,-0.839805523224963
2015-05-25,50,1.6,-0.839805523224963
2015-05-25,50,2.8,-0.839805523224963
2015-05-25,50,3.8,-0.839805523224963
2015-05-25,50,5,-0.839805523224963
2015-05-25,50,5.2,-0.839805523224963
2015-05-25,50,5.5,-0.839805523224963
2015-05-25,50,5.8,-0.839805523224963
2015-05-25,50,6,-0.839805523224963
2015-05-25,50,6.2,-0.839805523224963
2015-05-25,50,8,-0.839805523224963
2015-05-25,50,9,-0.839805523224963
2015-05-25,50,9.3,-0.839805523224963
2015-05-28,50,0.1,-1.23406810598999
2015-05-28,50,0.8,-1.23406810598999
2015-05-28,50,1.6,-1.23406810598999
2015-05-28,50,2.8,-1.23406810598999
2015-05-28,50,3.8,-1.23406810598999
2015-05-28,50,5,-1.23406810598999
2015-05-28,50,5.2,-1.23406810598999
2015-05-28,50,5.5,-1.23406810598999
2015-05-28,50,5.8,-1.23406810598999
2015-05-28,50,6,-1.23406810598999
2015-05-28,50,6.2,-1.23406810598999
2015-05-28,50,8,-1.23406810598999
2015-05-28,50,9,-1.23406810598999
2015-05-28,50,9.3,-1.23406810598999
2015-06-08,50,0.1,-0.931404092466215
2015-06-08,50,0.8,-0.931404092466215
2015-06-08,50,1.6,-0.931404092466215
2015-06-08,50,2.8,-0.931404092466215
2015-06-08,50,3.8,-0.931404092466215
2015-06-08,50,5,-0.931404092466215
2015-06-08,50,5.2,-0.931404092466215
2015-06-08,50,5.5,-0.931404092466215
2015-06-08,50,5.8,-0.931404092466215
2015-06-08,50,6,-0.931404092466215
2015-06-08,50,6.2,-0.931404092466215
2015-06-08,50,8,-0.931404092466215
2015-06-08,50,9,-0.931404092466215
2015-06-08,50,9.3,-0.931404092466215
2015-06-11,50,0.1,-0.945193590487238
2015-06-11,50,0.8,-0.945193590487238
2015-06-11,50,1.6,-0.945193590487238
2015-06-11,50,2.8,-0.945193590487238
2015-06-11,50,3.8,-0.945193590487238
2015-06-11,50,5,-0.945193590487238
2015-06-11,50,5.2,-0.945193590487238
2015-06-11,50,5.5,-0.945193590487238
2015-06-11,50,5.8,-0.945193590487238
2015-06-11,50,6,-0.945193590487238
2015-06-11,50,6.2,-0.945193590487238
2015-06-11,50,8,-0.945193590487238
2015-06-11,50,9,-0.945193590487238
2015-06-11,50,9.3,-0.945193590487238
2015-06-15,50,0.1,-0.950839444790613
2015-06-15,50,0.8,-0.950839444790613
2015-06-15,50,1.6,-0.950839444790613
2015-06-15,50,2.8,-0.950839444790613
2015-06-15,50,3.8,-0.950839444790613
2015-06-15,50,5,-0.950839444790613
2015-06-15,50,5.2,-0.950839444790613
2015-06-15,50,5.5,-0.950839444790613
2015-06-15,50,5.8,-0.950839444790613
2015-06-15,50,6,-0.950839444790613
2015-06-15,50,6.2,-0.950839444790613
2015-06-15,50,8,-0.950839444790613
2015-06-15,50,9,-0.950839444790613
2015-06-15,50,9.3,-0.950839444790613
2015-06-18,50,0.1,-0.908693885290007
2015-06-18,50,0.8,-0.908693885290007
2015-06-18,50,1.6,-0.908693885290007
2015-06-18,50,2.8,-0.908693885290007
2015-06-18,50,3.8,-0.908693885290007
2015-06-18,50,5,-0.908693885290007
2015-06-18,50,5.2,-0.908693885290007
